CO_NAME,Cline_Code,[Company Long Name,[Sector,[Industry
ACC,6,ACC Ltd,Cement,Cement - Major - North India
Advance Petroch.,8,Advance Petrochemicals Ltd,FMCG,Detergents / Intermediates
Aegis Logistics,9,Aegis Logistics Ltd,Trading,Trading - Medium / Small
Alfred Herbert,11,Alfred Herbert (India) Ltd,Finance,Finance - Investment / Others
Ambalal Sarabhai,14,Ambalal Sarabhai Enterprises Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Formulations
Amrutanjan Healt,17,Amrutanjan Health Care Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Formulations
Andhra Cements,19,Andhra Cements Ltd,Cement,Cement - Major - South India
Andhra Paper,20,Andhra Paper Ltd,Paper,Paper - Large
Apollo Tyres,23,Apollo Tyres Ltd,Tyres,Tyres - Large
Utique Enterp.,24,Utique Enterprises Ltd,Finance,Finance - Small
Aravali Sec.&Fin,25,Aravali Securities & Finance Ltd,Finance,Finance - Small
Arihant Inds.,26,Arihant Industries Ltd,Textiles,Textiles - Weaving
Aruna Hotels,28,Aruna Hotels Ltd,Hotels & Restaurants,Hotels - Small
Arvind Ltd,29,Arvind Ltd,Textiles,Textiles - Denim Fabric
Ashok Leyland,31,Ashok Leyland Ltd,Automobile,Automobiles - LCVs/HCVs
Asian Hotels (N),33,Asian Hotels (North) Ltd,Hotels & Restaurants,Hotels - Medium
Asian Paints,34,Asian Paints Ltd,Paints/Varnish,Paints / Varnishes
Assam CO. (I),35,Assam Company India Ltd,Plantation & Plantation Products,Tea - Indian - Medium / Small
SKF India,37,SKF India Ltd,Bearings,Bearings - Large
Asi Industries,38,Asi Industries Ltd,Mining & Mineral products,Mining / Minerals
Astrazeneca Phar,39,Astrazeneca Pharma India Ltd,Pharmaceuticals,Pharmaceuticals - Multinational
Atlas Cycles,42,Atlas Cycles (Haryana) Ltd,Miscellaneous,Cycles And Accessories
Atul,43,Atul Ltd,Chemicals,Dyes And Pigments - Large
Auto.Corp.of Goa,44,Automobile Corporation Of Goa Ltd,Auto Ancillaries,Auto Ancillaries - Sheet Metal
Bagalkot Udyog,49,Bagalkot Udyog Ltd,Finance,Finance - Investment / Others
Bajaj Holdings,50,Bajaj Holdings & Investment Ltd,Finance,NBFC-Holding Companies
Bajaj Electrical,51,Bajaj Electricals Ltd,Consumer Durables,Domestic Appliances - White Goods
Force Motors,53,Force Motors Ltd,Automobile,Automobiles - LCVs/HCVs
Sanathnagar Ent.,54,Sanathnagar Enterprises Ltd,Construction,Construction - Housing - Medium / Small
Balkrishna Inds,55,Balkrishna Industries Ltd,Tyres,Tyres - Large
Ballarpur Inds.,56,Ballarpur Industries Ltd,Paper,Paper - Medium / Small
Bannari Amm.Sug.,57,Bannari Amman Sugars Ltd,Sugar,Sugar - Integrated
Baroda Rayon,58,Baroda Rayon Corporation Ltd,Textiles,Textiles - Manmade - PFY/PSF - InHouse Poly Condsn
BASF India,59,BASF India Ltd,Chemicals,Leather Chemicals
Bata India,60,Bata India Ltd,Leather,Leather / Synthetic Footware - Large
Batliboi,61,Batliboi Ltd,Capital Goods-Non Electrical Equipment,Engineering - Light - General - Medium / Small
Bayer Crop Sci.,62,Bayer CropScience Ltd,Agro Chemicals,Pesticides / Agrochemicals - Multinational
BCL Forgings,63,BCL Forgings Ltd,"Castings, Forgings & Fastners",Forgings - Medium / Small
Berger Paints,64,Berger Paints India Ltd,Paints/Varnish,Paints / Varnishes
Bhagawati Oxygen,67,Bhagawati Oxygen Ltd,Chemicals,Industrial Gas
Bharat Bijlee,68,Bharat Bijlee Ltd,Capital Goods - Electrical Equipment,Electric Equipment - Transformers
Bharat Forge,69,Bharat Forge Ltd,"Castings, Forgings & Fastners",Forgings - Large
Bharat Gears,70,Bharat Gears Ltd,Auto Ancillaries,Auto Ancillaries - Gears
Bharat Pipes,71,Bharat Pipes & Fittings Ltd,Plastic products,Plastics - Pipes
Sintex Inds.,72,Sintex Industries Ltd,Textiles,Textiles - Spinning - Synthetic / Blended
Bimetal Bearings,76,Bimetal Bearings Ltd,Bearings,Bearings - Medium / Small
Birla Corpn.,77,Birla Corporation Ltd,Cement,Cement - Major - North India
Birla Power Sol.,78,Birla Power Solutions Ltd,Capital Goods - Electrical Equipment,Electric Equipment - Gensets / Turbines
Bliss GVS Pharma,79,Bliss GVS Pharma Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Formulations
Blue Blends (I),81,Blue Blends (India) Ltd,Textiles,Textiles - Texturising
Blue Star,82,Blue Star Ltd,Consumer Durables,Air-conditioners
Bombay Burmah,84,Bombay Burmah Trading Corporation Ltd,Plantation & Plantation Products,Tea - Indian - Medium / Small
Bombay Dyeing,85,Bombay Dyeing & Manufacturing Company Ltd,Textiles,Textiles - Texturising
Reliance Infra.,88,Reliance Infrastructure Ltd,Infrastructure Developers & Operators,Engineering - Turnkey Services
Abbott India,90,Abbott India Ltd,Pharmaceuticals,Pharmaceuticals - Multinational
Borosil Renew.,92,Borosil Renewables Ltd,Glass & Glass Products,Glass - Containers / Others
Britannia Inds.,93,Britannia Industries Ltd,FMCG,Food And Dairy Products - Multinational
CESC,99,CESC Ltd,Power Generation & Distribution,Power Generation And Supply
Oriental Aromat.,100,Oriental Aromatics Ltd,Chemicals,Chemicals - Organic - Large
Caprihans India,101,Caprihans India Ltd,Plastic products,Plastics - Sheets
Graphite India,102,Graphite India Ltd,Capital Goods-Non Electrical Equipment,Electrodes - Graphites
Carborundum Uni.,103,Carborundum Universal Ltd,Capital Goods-Non Electrical Equipment,Abrasives and Grinding Wheels
CEAT,104,CEAT Ltd,Tyres,Tyres - Large
ITD Cem,105,ITD Cementation India Ltd,Construction,Construction - Civil / Turnkey - Large
Century Enka,106,Century Enka Ltd,Textiles,Textiles - Manmade - PFY/PSF - InHouse Poly Condsn
Century Textiles,107,Century Textiles & Industries Ltd,Paper,Paper - Large
Chettinad Cement,110,Chettinad Cement Corporation Ltd,Cement,Cement - Major - South India
Exide Inds.,111,Exide Industries Ltd,Auto Ancillaries,Auto Ancillaries - Batteries
Chowgule Steam,112,Chowgule Steamships Ltd,Shipping,Shipping - medium / small
Cipla,114,Cipla Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln Lrg
Citurgia Biochem,115,Citurgia Biochemicals Ltd,Chemicals,Chemicals - Organic - Medium / Small
Clutch Auto,116,Clutch Auto Ltd,Auto Ancillaries,Auto Ancillaries - Clutches
DIC India,117,DIC India Ltd,Chemicals,Chemicals - Speciality - Large
Colgate-Palmoliv,118,Colgate-Palmolive (India) Ltd,FMCG,Personal Care - Multinational
Clariant Chemica,119,Clariant Chemicals (India) Ltd,Chemicals,Chemicals - Speciality - Large
Computer Point,120,Computer Point Ltd,Trading,Trading - Medium / Small
Tata Coffee,121,Tata Coffee Ltd,Plantation & Plantation Products,Coffee
Coromandel Inter,123,Coromandel International Ltd,Fertilizers,Fertilizers - Nitrogenous / Phosphatic
Cosmo Films,124,Cosmo Films Ltd,Packaging,Packaging - BOPP Film
CG Power & Indu.,125,CG Power & Industrial Solutions Ltd,Capital Goods - Electrical Equipment,Electric Equipment - General - Large
DCM,128,DCM Ltd,"Castings, Forgings & Fastners",Castings - Steel / Alloy
Dalmia Bharat,131,Dalmia Bharat Sugar & Industries Ltd,Sugar,Sugar - Integrated
Bharatpur Nutri.,132,Bharatpur Nutritional Products Ltd,FMCG,Food and Dairy Products - Indian - Medium / Small
Deccan Cements,134,Deccan Cements Ltd,Cement,Cement - Mini - South India
Deepak Fertiliz.,135,Deepak Fertilizers & Petrochemicals Corp Ltd,Chemicals,Chemicals - Inorganic - Large
Deepak Nitrite,136,Deepak Nitrite Ltd,Chemicals,Chemicals - Benzene-based
Deltron,137,Deltron Ltd,Consumer Durables,Electronics - Others
Dharamsi Morarji,140,Dharamsi Morarji Chemicals Co Ltd,Chemicals,Chemicals - Speciality - Medium / Small
DCW,141,DCW Ltd,Petrochemicals,Petrochemicals - Polymers - Large
Diamines & Chem.,142,Diamines & Chemicals  Ltd,Chemicals,Chemicals - Speciality - Medium / Small
Dunlop India,145,Dunlop India Ltd,Tyres,Tyres - Medium / Small
Fermenta Biotec.,146,Fermenta Biotech Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs
EID Parry,148,EID Parry (India) Ltd,Sugar,Sugar - Integrated
P & G Health Ltd,149,Procter & Gamble Health Ltd,Pharmaceuticals,Pharmaceuticals - Multinational
EIH,150,EIH Ltd,Hotels & Restaurants,Hotels - Large
Eicher Motors,151,Eicher Motors Ltd,Automobile,Automobiles - Motorcycles / Mopeds
Elecon Engg.Co,152,Elecon Engineering Company Ltd,Capital Goods-Non Electrical Equipment,Engineering - Heavy - Material Handling
Electrost.Cast.,154,Electrosteel Castings Ltd,"Castings, Forgings & Fastners",Castings - Grey Iron
Elgi Equipments,155,Elgi Equipments Ltd,Capital Goods-Non Electrical Equipment,Compressors / Drilling Equipment
Elpro Internatio,156,Elpro International Ltd,Construction,Construction - Housing - Medium / Small
Eicher,157,Eicher Ltd(merged),Finance,Finance - Investment / Others
GE T&D India,159,GE T&D India Ltd,Capital Goods - Electrical Equipment,Electric Equipment - Switchgears/Relays/Circuits
Escorts,161,Escorts Ltd,Automobile,Automobiles - Tractors
EPL Ltd,164,EPL Ltd,Packaging,Packaging - Others
Everest Inds.,165,Everest Industries Ltd,Cement - Products,Cement Products
Excel Industries,166,Excel Industries Ltd,Chemicals,Chemicals - Organic - Large
FGP,167,FGP Ltd,Realty,Miscellaneous - Medium / Small
Finolex Cables,171,Finolex Cables Ltd,Cables,Cables - Power - Large
First Leasing Co,172,First Leasing Company of India Ltd,Finance,Finance - Medium
Nestle India,175,Nestle India Ltd,FMCG,Food And Dairy Products - Multinational
Foods & Inns,176,Foods & Inns Ltd,FMCG,Food - Processing - Fruit Processing
GKW,180,GKW Ltd,Miscellaneous,Miscellaneous - Medium / Small
Graviss Hospital,181,Graviss Hospitality Ltd,Hotels & Restaurants,Hotels - Small
Delta Manufact.,183,Delta Manufacturing Ltd,Consumer Durables,Electronics - Hard Ferrites
Gabriel India,184,Gabriel India Ltd,Auto Ancillaries,Auto Ancillaries - Shock Absorbers
Gajra Bevel,185,Gajra Bevel Gears Ltd,Auto Ancillaries,Auto Ancillaries - Gears
Gammon India,186,Gammon India Ltd,Infrastructure Developers & Operators,Construction - Civil / Turnkey - Medium / Small
Garware Nylons,187,Garware Nylons Ltd,Textiles,Textiles - Manmade - Nylon
Garware Polyest,189,Garware Polyester Ltd,Packaging,Packaging - Polyester Film
Garware Tech.,190,Garware Technical Fibres Ltd,Textiles,Textiles - Others
Genelec,191,Genelec Ltd,Miscellaneous,Lighting Systems
Glaxosmi. Pharma,195,Glaxosmithkline Pharmaceuticals Ltd,Pharmaceuticals,Pharmaceuticals - Multinational
Goa Carbon,196,Goa Carbon Ltd,Chemicals,Aluminium Chemicals
Federal-Mogul Go,197,Federal-Mogul Goetze (India) Ltd,Auto Ancillaries,Auto Ancillaries - Engine Parts
Forbes & Co,198,Forbes & Company Ltd,Engineering,Engineering - Light - General - Medium / Small
Goodyear India,199,Goodyear India Ltd,Tyres,Tyres - Large
Kansai Nerolac,200,Kansai Nerolac Paints Ltd,Paints/Varnish,Paints / Varnishes
Goodricke Group,201,Goodricke Group Ltd,Plantation & Plantation Products,Tea - Foreign
Saregama India,204,Saregama India Ltd,Entertainment,Entertainment - Content Providers
GE Shipping Co,207,Great Eastern Shipping Company Ltd,Shipping,Shipping - Large
Greaves Cotton,208,Greaves Cotton Ltd,Capital Goods-Non Electrical Equipment,Engines
Grindwell Norton,209,Grindwell Norton Ltd,Capital Goods-Non Electrical Equipment,Abrasives and Grinding Wheels
Golden Tobacco,210,Golden Tobacco Ltd,Tobacco Products,Cigarettes
Him Teknoforg.,211,Him Teknoforge Ltd,Auto Ancillaries,Auto Ancillaries - Gears
G N F C,213,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,Fertilizers,Fertilizers - Nitrogenous / Phosphatic
Setco Automotive,214,Setco Automotive Ltd,Auto Ancillaries,Auto Ancillaries - Clutches
Guj. Themis Bio.,216,Gujarat Themis Biosyn Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs
Gujarat Alkalies,217,Gujarat Alkalies & Chemicals Ltd,Chemicals,Chlor-Alkali
Ambuja Cements,218,Ambuja Cements Ltd,Cement,Cement - Major - North India
Guj. Carbon Inds,220,Gujarat Carbon & Industries Ltd,Chemicals,Carbon Black
Guj. Petrosynth.,225,Gujarat Petrosynthese Ltd,Plastic products,Plastics - Bottles / Jars
G S F C,226,Gujarat State Fertilizers & Chemicals Ltd,Fertilizers,Fertilizers - Nitrogenous / Phosphatic
Grasim Inds,227,Grasim Industries Ltd,Textiles,Textiles - Acrylic Fibre
Malanpur Steel,229,Malanpur Steel Ltd,Trading,Trading - Medium / Small
H D F C,230,Housing Development Finance Corporation Ltd,Finance,Finance - Housing - Large
GlaxoSmith C H L,231,GlaxoSmithkline Consumer Healthcare Ltd,FMCG,Food And Dairy Products - Multinational
Harri. Malayalam,233,Harrisons Malayalam Ltd,Plantation & Plantation Products,Tea - Indian - Medium / Small
Hero Motocorp,237,Hero MotoCorp Ltd,Automobile,Automobiles - Motorcycles / Mopeds
Hilton Rubber,240,Hilton Rubbers Ltd,Plantation & Plantation Products,Rubber - Products
A B B,242,ABB India Ltd,Capital Goods - Electrical Equipment,Electric Equipment - General - Large
Novartis India,243,Novartis India Ltd,Pharmaceuticals,Pharmaceuticals - Multinational
Hind.Construct.,245,Hindustan Construction Company Ltd,Construction,Construction - Civil / Turnkey - Large
Hind.Dorr-Oliver,246,Hindustan Dorr-Oliver Ltd,Engineering,Engineering - Turnkey Services
Hindustan Motors,247,Hindustan Motors Ltd,Automobile,Automobiles - passenger cars
Bajaj Hindusthan,249,Bajaj Hindusthan Sugar Ltd,Sugar,Sugar - Integrated
HSIL,250,HSIL Ltd,Sanitaryware,Ceramics - Sanitaryware / Others
HEG,251,HEG Ltd,Capital Goods-Non Electrical Equipment,Electrodes - Graphites
Hindalco Inds.,252,Hindalco Industries Ltd,Non Ferrous Metals,Aluminium
Hind.Composites,253,Hindustan Composites Ltd,Auto Ancillaries,Auto Ancillaries - Friction Materials
HGI Industries,254,HGI Industries Ltd,Miscellaneous,Miscellaneous - Medium / Small
Hind. Unilever,255,Hindustan Unilever Ltd,FMCG,Personal Care - Multinational
Sanofi India,256,Sanofi India Ltd,Pharmaceuticals,Pharmaceuticals - Multinational
HLV,257,HLV Ltd,Hotels & Restaurants,Hotels - Medium
Hil Ltd,259,Hil Ltd,Cement - Products,Cement Products
Zensar Tech.,262,Zensar Technologies Ltd,IT - Software,Computers - Software - Medium / Small
Futura Polyester,263,Futura Polyesters Ltd,Textiles,Textiles - Manmade - PFY/PSF - InHouse Poly Condsn
GOCL Corpn.,265,GOCL Corporation Ltd,Chemicals,Industrial Explosives
Akzo Nobel,266,Akzo Nobel India Ltd,Paints/Varnish,Paints / Varnishes
Indag Rubber,268,Indag Rubber Ltd,Plantation & Plantation Products,Rubber - Retreading
India Carbon,269,India Carbon Ltd,Chemicals,Aluminium Chemicals
India Cements,270,India Cements Ltd,Cement,Cement - Major - South India
Incab Inds.,277,Incab Industries Ltd,Cables,Cables - Power - Medium / Small
Indian CardCloth,278,Indian Card Clothing Company Ltd,Textiles,Textile machinery
IFB Industries,281,IFB Industries Ltd,Consumer Durables,Domestic Appliances - White Goods
Indian Hotels Co,282,Indian Hotels Co Ltd,Hotels & Restaurants,Hotels - Large
Indian Hume Pipe,283,Indian Hume Pipe Company Ltd,Construction,Construction - Civil / Turnkey - Large
Linde India,284,Linde India Ltd,Chemicals,Industrial Gas
Singer India,287,Singer India Ltd,Engineering,Engineering - Light - General - Medium / Small
Gillette India,288,Gillette India Ltd,FMCG,Personal Care - Multinational
IAG Glass Compan,289,IAG Glass Company Ltd,Glass & Glass Products,Glass - Sheet / Float
Indo Gulf Inds.,290,Indo Gulf Industries Ltd,Chemicals,Industrial Explosives
Panasonic Carbon,291,Panasonic Carbon India Company Ltd,Capital Goods-Non Electrical Equipment,Electrodes - Graphites
Castrol India,292,Castrol India Ltd,Chemicals,Lubricants
Ingersoll-Rand,295,Ingersoll-Rand (India) Ltd,Capital Goods-Non Electrical Equipment,Compressors / Drilling Equipment
Intl. Combustion,296,International Combustion (India) Ltd,Capital Goods-Non Electrical Equipment,Engineering - Heavy - Material Handling
Tata Inv.Corpn.,298,Tata Investment Corporation Ltd,Finance,NBFC-Holding Companies
ION Exchange,299,Ion Exchange (India) Ltd,Capital Goods-Non Electrical Equipment,Pollution Control Equipment
Tata Steel Long,300,Tata Steel Long Products Ltd,Steel,Steel - Sponge Iron
ITC,301,ITC Ltd,Tobacco Products,Cigarettes
IVP,302,IVP Ltd,Chemicals,Chemicals - Organic - Medium / Small
J B Chem & Pharm,303,J B Chemicals & Pharmaceuticals Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln M/S
JK Tyre & Indust,304,JK Tyre & Industries Ltd,Tyres,Tyres - Large
Jaykay Enter.,305,Jaykay Enterprises Ltd,Miscellaneous,Miscellaneous - Medium / Small
JCT,306,JCT Ltd,Textiles,Textiles - Composite/Cotton/Blended/Fabric - LARGE
Jagatjit Inds.,307,Jagatjit Industries Ltd,Alcoholic Beverages,Distilleries
Jay Shree Tea,311,Jay Shree Tea & Industries Ltd,Plantation & Plantation Products,Tea - Indian - Large
Jenson & Nich.,312,Jenson & Nicholson (India) Ltd,Paints/Varnish,Paints / Varnishes
Jyoti,315,Jyoti Ltd,Capital Goods - Electrical Equipment,Electric Equipment - General - Medium / Small
K C P,316,K C P Ltd,Cement,Cement - Major - South India
Kirl.Pneumatic,318,Kirloskar Pneumatic Company Ltd,Capital Goods-Non Electrical Equipment,Compressors / Drilling Equipment
Kalyani Steels,322,Kalyani Steels Ltd,Steel,Steel - Rolling
Keltech Energies,326,Keltech Energies Ltd,Chemicals,Industrial Explosives
Kaycee Inds.,327,Kaycee Industries Ltd,Capital Goods - Electrical Equipment,Electric Equipment - General - Medium / Small
Whirlpool India,328,Whirlpool of India Ltd,Consumer Durables,Domestic Appliances - White Goods
Kesoram Inds.,329,Kesoram Industries Ltd,Diversified,Diversified - Mega
Khaitan Elect.,330,Khaitan Electricals Ltd,Consumer Durables,Domestic Appliances - Fans
Indokem,332,Indokem Ltd,Chemicals,Dyes And Pigments - Medium / Small
Kinetic Engg.,334,Kinetic Engineering Ltd,Auto Ancillaries,Auto Ancillaries - Others
Kirl. Brothers,336,Kirloskar Brothers Ltd,Capital Goods-Non Electrical Equipment,Pumps
Cummins India,337,Cummins India Ltd,Capital Goods-Non Electrical Equipment,Engines
Kothari Indl,340,Kothari Industrial Corporation Ltd,Fertilizers,Fertilizers - Nitrogenous / Phosphatic
Kothari Sugars,341,Kothari Sugars & Chemicals Ltd,Sugar,Sugar - Integrated
KSB,342,KSB Ltd,Capital Goods-Non Electrical Equipment,Pumps
Panasonic Energy,344,Panasonic Energy India Company Ltd,Dry cells,Dry Cells
Trent,345,Trent Ltd,Retail,Trading - Medium / Small
Lak. Mach. Works,346,Lakshmi Machine Works Ltd,Textiles,Textile machinery
Lak. Prec. Screw,347,Lakshmi Precision Screws Ltd,"Castings, Forgings & Fastners",Fasteners
Larsen & Toubro,348,Larsen & Toubro Ltd,Infrastructure Developers & Operators,Engineering - Turnkey Services
M M Rubber,352,M M Rubber Co Ltd,Plantation & Plantation Products,Rubber - Products
Manugraph India,355,Manugraph India Ltd,Capital Goods-Non Electrical Equipment,Engineering - Heavy - General - Medium / Small
The Ramco Cement,357,The Ramco Cements Ltd,Cement,Cement - Major - South India
Mafatlal Inds.,361,Mafatlal Industries Ltd,Textiles,Textiles - Composite/Cotton/Blended/Fabric - LARGE
Mah. Scooters,363,Maharashtra Scooters Ltd,Finance,Finance - Investment / Others
M & M,365,Mahindra & Mahindra Ltd,Automobile,Automobiles - passenger cars
Makers Labs.,366,Makers Laboratories Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Formulations
Mangalam Cement,367,Mangalam Cement Ltd,Cement,Cement - Major - North India
Mangalore Chem.,368,Mangalore Chemicals & Fertilizers Ltd,Fertilizers,Fertilizers - Nitrogenous / Phosphatic
MPIL Corporation,370,MPIL Corporation Ltd,Finance,Finance - Investment / Others
Max Financial,372,Max Financial Services Ltd,Finance,Finance - Investment / Others
Mazda Industries,376,Mazda Industries Leasing Ltd,Finance,Finance - Small
Metal Box India,378,Metal Box India Ltd,Packaging,Packaging - Metallic
Bosch,381,Bosch Ltd,Auto Ancillaries,Auto Ancillaries - Engine Parts
Milkfood,382,Milkfood Ltd,FMCG,Food And Dairy Products - Indian - Large
Mipco Seaml Ring,383,Mipco Seamless Rings (Gujarat) Ltd,Auto Ancillaries,Auto Ancillaries - Others
Modella Woollens,384,Modella Woollens Ltd,Trading,Trading - Medium / Small
Modern Insulator,385,Modern Insulators Ltd,Capital Goods - Electrical Equipment,Electric Equipment - General - Medium / Small
Lords Chloro,387,Lords Chloro Alkali Ltd,Chemicals,Chlor-Alkali
Modi Rubber,389,Modi Rubber Ltd,Tyres,Tyres - Medium / Small
Mohan Meakin,390,Mohan Meakin Ltd,Alcoholic Beverages,Distilleries
Peninsula Land,391,Peninsula Land Ltd,Realty,Construction - Factories / Offices / Commercial
MRF,392,MRF Ltd,Tyres,Tyres - Large
Mukand,394,Mukand Ltd,Steel,Steel - Medium / Small
Saptak Chem &,396,Saptak Chem & Business Ltd,Fertilizers,Fertilizers - Phosphatic - Single Super Phosphate
Heidelberg Cem.,398,HeidelbergCement India Ltd,Cement,Cement - Major - North India
Mysore Petro,401,Mysore Petro Chemicals Ltd,Chemicals,Chemicals - Maleic Anhydride / Phthalic Anhydride
NCL Industries,403,NCL Industries Ltd,Cement,Cement - Mini - South India
Nagarjuna Finan.,409,Nagarjuna Finance Ltd,Finance,Finance - Small
Natl. Peroxide,410,National Peroxide Ltd,Chemicals,Chemicals - Inorganic - Medium / Small
NELCO,412,NELCO Ltd,Telecomm Equipment & Infra Services,Telecommunications - Equipment - Medium / Small
Piramal Enterp.,414,Piramal Enterprises Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs & Formln M/S
Nirlon,415,Nirlon Ltd,Realty,Construction - Factories / Offices / Commercial
NOCIL,419,NOCIL Ltd,Chemicals,Chemicals - Speciality - Large
Orient Abrasives,420,Orient Abrasives Ltd,Capital Goods-Non Electrical Equipment,Abrasives and Grinding Wheels
Orient Paper,421,Orient Paper & Industries Ltd,Paper,Paper - Large
Oriental Hotels,423,Oriental Hotels Ltd,Hotels & Restaurants,Hotels - Medium
Orissa Sponge,425,Orissa Sponge Iron & Steel Ltd,Steel,Steel - Sponge Iron
Oswal Agro Mills,429,Oswal Agro Mills Ltd,Realty,Construction - Housing - Medium / Small
Panyam Cement,433,Panyam Cements & Mineral Industries Ltd,Cement,Cement - Mini - South India
Permanent Magnet,434,Permanent Magnets Ltd,Consumer Durables,Electronics - Hard Ferrites
Pfizer,435,Pfizer Ltd,Pharmaceuticals,Pharmaceuticals - Multinational
Phillips Carbon,436,Phillips Carbon Black Ltd,Chemicals,Carbon Black
Kore Foods,439,Kore Foods Ltd,FMCG,Food - Processing - Others
Amal,440,Amal Ltd,Chemicals,Dyes - Intermediate
Polychem,444,Polychem Ltd,Petrochemicals,Petrochemicals - Polymers - Medium / Small
Prakash Industri,445,Prakash Industries Ltd,Steel,Steel - Rolling
Surya Roshni,446,Surya Roshni Ltd,Steel,Steel - Large
Schaeffler India,447,Schaeffler India Ltd,Bearings,Bearings - Large
Premier,449,Premier Ltd,Capital Goods-Non Electrical Equipment,Machine Tools - Others
Prem. Vin. Floor,450,Premier Vinyl Flooring Ltd,Plastic products,Plastics - Flooring
Pressman Adv.,451,Pressman Advertising Ltd,Miscellaneous,Miscellaneous - Medium / Small
Hawkins Cookers,453,Hawkins Cookers Ltd,Consumer Durables,Domestic Appliances - Cookers / Others
AMJ Land Holdin.,455,AMJ Land Holdings Ltd,Realty,Construction - Civil / Turnkey - Medium / Small
Punjab Alkalies,457,Punjab Alkalies & Chemicals Ltd,Chemicals,Chlor-Alkali
Punjab Chemicals,463,Punjab Chemicals & Crop Protection Ltd,Chemicals,Chemicals - Organic - Large
Raasi Refractor,465,Raasi Refractories Ltd,Refractories,Refractories / Intermediates
Rallis India,466,Rallis India Ltd,Agro Chemicals,Pesticides / Agrochemicals - Indian - Large
Nath Industries,470,Nath Industries Ltd,Paper,Paper - Medium / Small
Rane Holdings,471,Rane Holdings Ltd,Finance,Finance - Investment / Others
Rasoi,474,Rasoi Ltd,Diversified,Diversified - Medium / Small
Raymond,476,Raymond Ltd,Textiles,Textiles - Others
Reliance Industr,478,Reliance Industries Ltd,Refineries,Refineries
Revathi Equipmnt,480,Revathi Equipment Ltd,Capital Goods-Non Electrical Equipment,Compressors / Drilling Equipment
P & G Hygiene,483,Procter & Gamble Hygiene and Health Care Ltd,FMCG,Personal Care - Multinational
Citadel Realty,484,Citadel Realty & Developers Ltd,Realty,Construction - Housing - Medium / Small
Rollatainers,491,Rollatainers Ltd,Packaging,Packaging - Others
Sadhana Nitro,493,Sadhana Nitro Chem Ltd,Chemicals,Dyes - Intermediate
Sagar Soya Prod,495,Sagar Soya Products Ltd,Edible Oil,Solvent Extraction - Medium / Small
Samtel (India),499,Samtel (India) Ltd,Consumer Durables,Electronics - Picture Tubes - B & W
Saurashtra Cem.,500,Saurashtra Cement Ltd,Cement,Cement - Major - North India
Scindia Steam,502,Scindia Steam Navigation Co. Ltd,Shipping,Shipping - medium / small
Vedanta,503,Vedanta Ltd,Mining & Mineral products,Mining / Minerals
Seshasayee Paper,505,Seshasayee Paper & Boards Ltd,Paper,Paper - Large
Shalimar Paints,508,Shalimar Paints Ltd,Paints/Varnish,Paints / Varnishes
Shree Cement,510,Shree Cement Ltd,Cement,Cement - Major - North India
Sh. Digvijay Cem,511,Shree Digvijay Cement Co. Ltd,Cement,Cement - Major - North India
Shree Synthetics,512,Shree Synthetics Ltd,Textiles,Textiles - Manmade - PFY / PSF - From Chips
Sh. Dinesh Mills,513,Shri Dinesh Mills Ltd,Textiles,Textiles - Worsted Fabric
SRF,514,SRF Ltd,Textiles,Textiles - Manmade - Nylon
Siemens,515,Siemens Ltd,Capital Goods - Electrical Equipment,Electric Equipment - General - Large
Sirpur Paper,516,Sirpur Paper Mills Ltd,Paper,Paper - Medium / Small
Siyaram Silk,519,Siyaram Silk Mills Ltd,Textiles,Textiles - Weaving
Somany Ceramics,525,Somany Ceramics Ltd,Ceramic Products,Ceramics - Tiles
S P I C,526,Southern Petrochemicals Industries Corporation Ltd,Fertilizers,Fertilizers - Nitrogenous / Phosphatic
TVS Srichakra,527,TVS Srichakra Ltd,Tyres,Tyres - Large
Standard Battery,529,Standard Batteries Ltd,Trading,Trading - Medium / Small
Standard Inds.,532,Standard Industries Ltd,Trading,Trading - Medium / Small
Steel Strips,534,Steel Strips Ltd,Steel,Steel - Medium / Small
Stovec Inds.,535,Stovec Industries Ltd,Textiles,Textile machinery
JK Lakshmi Cem.,536,JK Lakshmi Cement Ltd,Cement,Cement - Major - North India
Kitply Industri.,537,Kitply Industries Ltd,Miscellaneous,Decoratives - Wood-based
Sundaram Brake,538,Sundaram Brake Linings Ltd,Auto Ancillaries,Auto Ancillaries - Friction Materials
Sundaram Clayton,539,Sundaram Clayton Ltd,Auto Ancillaries,Auto Ancillaries - Brakes
Sundram Fasten.,540,Sundram Fasteners Ltd,"Castings, Forgings & Fastners",Fasteners
Sundaram Finance,541,Sundaram Finance Ltd,Finance,Finance - Large
Supreme Inds.,543,Supreme Industries Ltd,Plastic products,Plastics - Sheets
