CO_NAME,Cline_Code,[Company Long Name,[Sector,[Industry
Hester Bios,4261,Hester Biosciences Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Formulations
B Nanji Enterps.,4262,B Nanji Enterprises Ltd,Construction,Construction - Housing - Medium / Small
Alan Scott Inds.,4263,Alan Scott Industries Ltd,Textiles,Textiles - Socks
Bafna Spg. Mills,4264,Bafna Spinning Mills & Exports Ltd,Textiles,Textiles - Cotton Yarn - 100% EOUs
Electrotherm(I),4266,Electrotherm (India) Ltd,Steel,Steel - Medium / Small
RSL Industries,4267,RSL Industries Ltd,Textiles,Textiles - Cotton Yarn - Open-Ended Spinning
Salguti Industri,4269,Salguti Industries Ltd,Packaging,Packaging - Polysacks
Guj. Nar. Flyash,4270,Gujarat Narmada Flyash Co Ltd,Refractories,Refractories / Intermediates
Lippi Systems,4271,Lippi Systems Ltd,Capital Goods-Non Electrical Equipment,Engineering - Heavy - General - Medium / Small
Blue Dart Expres,4274,Blue Dart Express Ltd,Logistics,Couriers
Blue Pearl,4275,Blue Pearl Texspin Ltd,Trading,Trading - Medium / Small
Sonal Sil Chem.,4277,Sonal Sil Chem Ltd,Chemicals,Chemicals - Inorganic - Medium / Small
Pertech Computer,4278,Pertech Computers Ltd,IT - Hardware,Computers - Hardware - Large
Rubfila Intl.,4279,Rubfila International Ltd,Plantation & Plantation Products,Rubber - Products
Matra Realty,4280,Matra Realty Ltd,Finance,Finance - Small
Hind.Adhesive,4281,Hindustan Adhesives Ltd,Packaging,Packaging - BOPP Self-adhesive Tape
Koa Tools India,4284,Koa Tools India Ltd,Capital Goods-Non Electrical Equipment,Engineering - Light - Tools / Moulds
Pinky Chemicals,4287,Pinky Chemicals Ltd,Chemicals,Chemicals - Inorganic - Medium / Small
Kabsons Industri,4290,Kabsons Industries Ltd,Trading,Trading - Medium / Small
Natl. Plastic,4291,National Plastic Industries Ltd,Plastic products,Plastics - Furniture
Satkar Elect.,4292,Satkar Electronics Ltd,Consumer Durables,Electronics - Others
