CO_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Atul,,15.72,166.94,78.37,304.95,230.05,186.92,86.78,66.76,54.15,42.87,34.86,52.52,80.7,96.87,227.87,432.74,254.12,168.38,127.58,257.89,519.79,567.69,898.25,1286.21,3344.61,4570.16,7059.23,7776.85,10597.22,11789.41,20935.35,30439.75,20544.23
Auto.Corp.of Goa,24.78,26.33,51.63,25.94,25.32,76.57,51.87,31.62,13.56,8.3,4.94,3.09,1.85,5.63,67.58,111.62,180.93,289.06,144.64,86.0,148.78,228.26,189.49,145.06,164.54,283.57,270.73,407.22,716.12,359.49,178.82,247.75,568.71,437.1
Bagalkot Udyog,8.23,11.37,34.64,6.5,5.63,25.98,9.96,4.55,4.33,5.19,,,,,1.51,,,9.26,,,,,,,,,,,,,,,,
Bajaj Holdings,,1090.98,2069.65,879.6,4327.45,5531.51,6478.63,7183.0,7094.75,7351.44,4584.58,2606.9,4743.32,4853.1,9228.12,10941.1,27792.63,24540.7,6996.09,3009.6,6441.4,8814.72,9051.77,10178.03,11295.94,14486.62,16259.47,24167.74,29201.94,38039.48,20027.19,36640.56,55892.06,65877.56
Bajaj Electrical,5.52,16.13,72.0,20.16,31.68,41.76,28.08,23.33,24.62,22.46,19.96,14.77,14.69,9.63,29.51,259.37,433.3,336.48,749.26,253.24,2178.78,2418.86,1940.68,1721.19,2872.11,2331.64,1921.56,3167.85,5731.96,5722.6,3042.72,11194.81,12348.97,12107.11
Force Motors,77.55,138.6,264.0,167.48,551.6,443.25,464.36,305.7,289.08,173.98,305.97,,131.8,118.62,420.9,420.05,774.98,411.48,194.8,81.39,460.58,1049.79,631.39,438.3,455.04,1842.56,3762.89,5914.0,3602.09,2240.67,969.39,1541.47,1349.83,1537.45
Sanathnagar Ent.,15.75,26.44,63.0,25.56,24.3,28.8,15.84,10.44,3.6,8.19,,2.08,2.27,,,,,,,,,,,,,,,,,4.32,2.24,3.29,4.46,6.62
Balkrishna Inds,11.7,18.85,68.9,14.95,65.0,108.33,46.43,25.38,27.3,16.68,18.88,11.14,18.32,27.86,255.65,496.62,1724.49,877.47,1048.75,267.26,1241.48,1291.36,2503.46,2630.56,4621.73,6244.15,6084.66,13393.98,20740.03,19226.36,15293.32,32679.3,41337.98,37729.72
Ballarpur Inds.,216.69,618.62,1004.08,678.96,1312.55,1140.57,892.62,255.96,125.07,363.27,428.94,332.89,694.34,693.91,1002.36,1752.49,1722.89,2195.09,1863.7,1113.78,2054.99,2156.6,1360.16,868.54,1265.12,900.0,898.04,1281.5,1614.23,378.98,,,,
Bannari Amm.Sug.,20.44,15.75,52.5,31.88,86.71,54.67,54.29,57.48,39.11,69.64,109.71,84.91,143.1,96.21,276.85,515.26,1326.92,620.43,911.54,777.69,1030.0,664.09,628.97,997.8,938.08,920.92,1649.65,2432.76,2163.1,1924.84,1107.63,1968.73,3353.43,3412.3
Baroda Rayon,149.15,148.23,350.35,110.67,291.36,196.79,89.67,47.45,40.83,18.91,15.22,,,,,,,,,,,,,,,,,,,,,,,348.83
BASF India,64.97,57.51,351.45,201.39,527.45,379.5,379.5,278.93,429.39,467.79,260.82,172.19,281.48,253.29,339.13,557.88,621.31,538.57,548.72,503.9,1445.3,2566.66,2171.21,2502.59,3699.56,4830.3,3777.7,5906.27,8261.9,6379.86,4866.66,8976.4,13352.15,9865.57
Bata India,,,,,,552.77,179.97,100.91,863.86,1003.72,709.6,333.46,181.77,173.8,340.91,474.86,1155.14,1303.27,1845.66,687.62,1277.56,2329.88,3408.87,5571.35,6789.79,7009.57,6516.99,7293.3,9382.51,18103.1,15823.67,18053.62,25216.46,18238.06
Batliboi,18.14,23.49,29.36,,11.29,18.76,8.18,5.4,3.41,3.77,,1.19,2.3,3.17,17.89,58.05,239.96,128.99,112.19,35.56,82.89,67.4,45.03,31.26,34.59,53.7,60.88,68.49,66.62,45.23,17.8,44.37,140.13,170.28
Bayer Crop Sci.,139.49,129.76,502.82,283.85,624.47,486.6,235.19,316.29,226.27,324.4,237.57,96.22,150.52,183.07,1149.06,1027.4,952.35,1044.38,916.01,985.13,2568.09,3620.77,3169.68,4759.55,5519.18,12180.0,13323.86,13413.48,14430.41,15053.22,15544.35,23844.03,22392.4,18192.33
BCL Forgings,2.92,3.01,12.03,3.33,2.13,4.44,2.04,1.3,,,0.23,,,,,,7.87,4.1,18.35,15.68,7.89,10.74,,,,,,,,,,,,
Berger Paints,16.63,16.76,50.28,12.57,23.05,82.18,29.35,63.87,96.1,174.82,265.04,233.82,190.91,188.51,408.17,833.07,1703.02,1166.99,1152.64,1109.6,2029.58,3048.7,3680.77,6770.17,7953.91,14475.77,16955.53,23449.33,24902.1,31430.61,48308.47,74270.08,67973.22,56478.5
Bhagawati Oxygen,,,,,2.08,,1.16,0.35,0.28,,,,,,,,,,,,8.52,3.59,2.55,4.97,4.5,2.64,3.6,9.22,7.16,3.34,2.31,2.97,12.54,9.79
Bharat Bijlee,12.27,26.09,94.47,34.24,46.7,48.82,85.9,56.52,21.76,15.82,8.76,3.96,8.06,8.36,41.25,217.4,783.0,699.95,1387.97,248.56,518.45,535.6,338.58,239.06,282.46,350.26,495.64,517.12,851.89,618.2,320.61,631.05,983.2,1430.52
Bharat Forge,146.3,299.92,621.78,354.97,330.81,408.33,529.53,337.24,294.85,301.44,547.3,308.79,402.42,908.09,2764.02,5457.68,9886.79,7012.36,5952.55,2181.97,5645.29,8061.86,7472.88,4767.74,9816.01,29707.61,20318.78,24232.15,32598.19,23819.51,10899.43,27756.07,32679.67,35854.98
Bharat Gears,9.82,15.24,60.25,29.52,24.1,28.92,21.69,13.38,12.44,9.92,9.86,7.39,5.08,3.94,13.79,38.28,55.17,48.52,34.53,12.67,41.41,40.51,54.58,29.83,30.73,56.81,49.23,90.83,137.78,139.57,23.78,68.4,147.1,158.16
Bharat Pipes,10.25,11.25,21.25,52.2,,61.19,39.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sintex Inds.,132.96,235.45,526.3,11.77,41.17,42.37,20.07,21.63,64.06,40.04,38.58,37.71,36.33,46.45,160.09,787.06,2215.19,2350.46,4841.66,1340.43,4017.2,4138.68,2354.63,1443.39,1360.42,5124.86,3442.91,5762.88,1066.4,503.2,36.83,202.54,468.59,
Bimetal Bearings,17.67,54.58,134.05,88.09,160.86,195.33,149.37,152.53,64.73,34.47,53.62,45.58,31.41,39.45,72.81,98.34,101.88,93.49,79.47,45.65,95.77,94.1,109.35,78.5,89.22,117.96,114.17,145.41,208.18,182.02,72.77,112.99,119.3,145.58
Birla Corpn.,137.5,381.94,1680.8,855.68,702.88,748.72,598.98,262.82,114.6,71.05,102.59,128.99,131.3,91.26,476.31,1397.73,2457.39,1465.5,1508.63,1367.31,3059.61,2614.87,2176.3,1879.43,2230.98,3132.0,2788.92,5688.34,5492.74,4043.41,3211.32,7319.42,9082.94,6831.56
Birla Power Sol.,6.4,12.0,56.0,8.8,15.2,24.0,45.82,57.98,45.55,30.61,29.98,16.35,14.67,12.32,22.85,49.68,,62.13,140.54,40.42,233.77,215.65,111.03,51.24,,,,,,,,,,
Bliss GVS Pharma,0.92,1.1,5.56,0.97,2.36,2.29,0.79,0.26,,0.88,2.02,1.31,1.47,1.76,2.35,5.98,14.94,32.18,283.48,101.91,370.3,233.11,239.3,275.4,459.0,1330.59,1307.9,1819.51,2014.97,1856.12,1039.72,1018.06,797.8,742.09
Blue Blends (I),,26.88,60.69,19.07,28.61,44.75,18.43,33.51,16.42,3.97,3.46,,,,,,,,,,,,,47.98,,25.85,157.12,92.56,40.49,8.34,1.56,,,
Blue Star,20.41,20.41,89.76,31.11,62.69,165.83,86.72,46.41,57.25,112.74,128.73,64.52,130.35,147.52,254.47,455.06,1274.95,1888.21,3746.74,1392.21,3264.68,3344.27,1695.3,1419.19,1810.41,2768.23,3450.97,6618.74,7238.38,6532.01,4436.7,9028.95,10124.03,13269.65
Bombay Burmah,,60.72,138.0,52.44,248.4,359.15,162.12,111.68,99.12,70.99,83.76,,54.42,51.63,72.56,224.81,408.17,372.37,516.59,190.13,491.12,555.87,823.94,788.07,677.83,3067.17,2567.95,5971.08,8155.99,9087.09,5106.26,7749.91,6002.13,5664.43
Bombay Dyeing,234.92,519.85,1686.0,618.2,1264.77,1167.48,1091.53,443.28,426.81,177.53,213.61,153.55,166.94,174.12,570.63,1316.35,2296.7,2088.22,2371.81,648.45,2133.97,1484.98,2395.19,1807.18,1142.14,1319.76,982.07,1714.24,4943.41,2789.25,945.93,1448.84,2034.37,1173.12
Reliance Infra.,,73.13,468.0,605.85,1298.25,1765.18,1865.72,2741.42,2888.92,1998.54,3277.6,2589.14,3055.69,2968.86,13438.94,9836.4,12989.74,11315.66,29593.45,11668.55,24446.6,18393.15,15439.58,8537.97,11441.38,11380.89,14033.15,14949.67,11223.1,3595.07,265.62,921.78,2961.27,5071.05
Abbott India,89.1,109.35,364.5,186.3,583.2,437.4,429.3,360.45,486.0,808.79,864.92,984.07,464.94,636.79,1010.16,1115.21,819.92,770.67,537.01,1000.14,,1794.2,3103.78,3156.26,3724.59,8390.35,10003.44,9857.56,11579.34,15505.81,32842.94,31850.88,37611.33,46933.92
Borosil Renew.,,20.15,46.31,18.87,36.02,30.87,15.44,12.86,5.15,4.8,4.99,6.26,4.15,2.32,3.3,12.71,49.94,126.67,247.38,88.72,170.28,271.26,314.88,190.68,272.1,493.19,623.7,1441.27,1912.68,1953.8,424.3,3202.46,7565.17,5376.52
Britannia Inds.,213.56,264.62,974.93,389.97,742.8,529.25,378.83,445.68,871.86,2712.15,1726.7,1922.07,1453.12,1295.0,1569.25,2111.16,4260.66,2989.36,3223.12,3367.06,3821.21,4426.25,7077.46,6268.01,10115.98,25891.21,32100.13,40595.08,59686.81,74064.9,64677.56,87389.43,77181.43,104103.28
CESC,,,,,1084.32,769.6,430.98,287.24,247.51,161.47,160.7,131.33,79.49,97.75,673.51,1421.59,2826.46,3186.87,5144.4,2625.61,4777.71,3886.26,3400.24,3308.41,6252.62,7977.28,6274.59,11145.4,12826.88,9644.19,5418.93,7860.63,10061.08,8819.02
Oriental Aromat.,18.85,15.72,66.2,22.14,26.93,22.44,20.52,18.98,11.85,15.95,10.52,9.23,12.06,10.9,17.31,26.14,23.91,51.02,34.55,24.11,57.64,91.67,54.4,79.82,102.81,127.84,222.28,372.54,731.59,763.77,451.13,1974.79,2374.93,1183.76
Caprihans India,11.83,13.2,36.4,19.11,85.07,104.37,51.75,26.24,24.82,23.63,36.11,16.48,16.48,15.49,23.17,75.96,104.58,94.4,49.37,27.84,85.87,84.36,65.65,50.88,51.6,87.18,104.97,129.33,115.15,78.85,40.44,106.09,161.76,151.0
Graphite India,,16.8,50.4,16.2,24.0,25.68,58.87,36.53,14.49,48.71,26.85,19.86,27.48,81.97,282.93,568.36,865.24,754.33,778.92,373.97,1517.78,1822.85,1631.39,1544.44,1743.73,1627.48,1394.98,2192.11,14193.06,8730.36,2483.22,10001.28,9824.46,5122.75
