CO_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albert David,5.4,7.34,33.35,8.07,20.18,20.18,7.02,7.99,4.28,11.51,10.28,6.31,12.65,12.59,33.52,51.25,59.38,46.39,42.97,26.61,68.09,66.58,47.68,51.48,66.24,156.97,170.61,181.95,208.1,224.97,183.72,215.12,303.57,292.29
Amtek Auto,1.91,2.18,8.7,2.44,5.44,39.83,24.07,10.29,11.14,9.12,35.76,233.62,296.3,301.59,790.76,1717.69,3598.56,5326.83,3323.37,1735.01,3633.63,3789.85,2393.55,1311.6,4435.0,985.55,682.13,824.21,518.85,71.0,,,,
Apt Packaging,,3.38,14.43,3.05,4.03,14.39,10.44,6.63,2.7,1.86,,,,,,,,1.39,4.2,,,,,,,,,,,,,,,27.37
Shiva Texyarn,6.0,,15.0,3.38,5.63,39.38,23.63,14.91,14.63,10.86,5.63,,4.05,16.09,21.56,42.66,109.84,77.22,54.97,26.98,70.63,97.52,39.1,52.92,53.89,84.67,223.78,788.4,608.92,222.89,104.09,182.06,265.93,155.94
Ansal Housing,6.25,8.0,22.5,8.44,10.24,28.76,19.17,19.81,9.46,12.78,11.63,7.03,5.62,3.58,5.97,57.32,475.97,450.84,276.73,36.46,99.37,85.13,89.38,99.2,103.64,172.23,119.67,144.32,117.89,71.86,15.62,30.88,41.45,22.63
Asian Bearing,,13.0,48.75,9.75,4.88,18.28,10.55,7.56,4.53,3.78,6.04,1.51,4.68,,,,,,,,,,,,,,,,,,,,,
Benares Hotels,3.38,2.86,11.05,11.05,21.06,15.6,14.95,21.35,13.52,10.79,9.43,11.91,11.97,11.36,19.17,37.57,46.48,42.38,45.5,32.76,46.8,61.24,65.07,76.8,77.25,164.97,129.48,162.76,149.5,203.56,168.1,166.32,265.19,422.18
BWL,2.34,1.35,8.05,2.3,6.9,6.9,5.34,1.92,0.49,,6.84,0.94,1.05,,,,,8.56,,,,,,,,,,,,,,,,
Jhaveri Flexo,,0.4,1.75,0.85,,2.26,1.45,1.93,,,4.92,1.75,0.81,0.79,,2.93,43.45,137.37,114.91,78.0,87.81,63.15,,,,,,,,,,,,
GMB Ceramics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guj. Refractor.,2.17,,10.35,2.07,,,0.58,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardcast.& Waud,,3.3,,2.33,8.81,13.5,8.5,4.5,2.25,2.43,,,1.48,0.4,2.32,5.25,11.75,13.38,33.92,16.84,41.75,25.71,31.57,22.43,17.83,28.08,21.28,20.14,23.12,18.35,10.06,11.89,17.68,23.14
Hind Syntex,12.24,12.92,24.48,14.28,114.24,61.2,24.48,24.21,35.85,16.32,12.62,10.61,3.26,4.57,6.38,15.94,7.14,5.54,5.99,1.94,3.42,4.4,2.21,6.3,10.81,12.71,16.54,13.22,9.43,6.98,,,,
Jalpac India,5.01,5.34,20.04,9.0,7.8,9.6,8.44,1.0,1.38,0.69,1.93,,0.52,0.9,1.28,3.79,4.48,3.97,3.69,1.77,2.76,,,,,,,,,,,,,
Jindal Drilling,7.0,7.0,47.5,10.5,52.0,90.0,60.75,62.1,52.83,31.77,40.95,30.15,40.95,56.25,78.26,131.09,279.0,430.98,1156.46,780.42,1094.12,1039.07,697.38,505.0,537.72,481.07,350.08,484.98,432.53,285.31,131.42,260.39,691.61,696.24
Jolly Plastic,,0.9,5.12,1.79,0.96,,1.22,0.29,,,,,,,,,,,,,,,1.41,41.42,38.01,,,,,,,,,
Josts Engg. Co.,,,,,,,6.08,7.3,,,,,,,2.85,3.69,28.85,31.08,21.6,9.88,34.07,26.6,31.54,26.98,19.76,60.44,39.06,47.12,111.2,63.08,52.24,50.2,85.81,120.31
Key Corp,5.5,6.5,40.0,5.5,4.0,7.0,4.75,6.0,5.4,2.55,2.31,1.5,,1.17,1.22,,,,,,,4.14,3.36,5.58,3.72,3.86,8.1,6.83,16.02,8.12,5.74,8.39,29.4,28.85
K K Fincorp,,,,,,,2.31,2.28,1.01,,,,,,,,,,,,,,,,,,2.62,2.8,,6.68,6.61,3.53,4.49,7.71
Linear Industrie,,,,1.0,0.89,0.69,,,,,0.28,,,,,0.9,0.53,0.63,0.65,0.79,1.44,1.6,1.75,0.67,0.67,2.2,1.85,,,,,,,
M P Agro Inds.,1.1,0.82,,,,9.8,10.64,6.58,,,0.78,1.02,6.27,0.2,0.47,1.25,2.55,1.35,2.75,1.18,3.54,0.98,2.32,1.74,1.95,2.65,,,2.76,,1.1,2.26,5.77,4.27
Modern Syntex,,,,4.42,141.12,314.1,431.3,91.94,29.51,17.03,16.46,,,,,,,,,,,,,,,,,,,,,,,
Modern Threads,3.26,4.27,15.06,8.64,17.28,243.46,313.02,133.9,27.82,11.3,5.22,,,,,,,,,,,,,,,,,,,,,,,
Omax Autos,2.61,4.13,13.05,3.99,12.68,15.59,8.17,5.7,4.71,8.4,24.39,14.05,30.93,55.15,141.74,205.43,255.4,195.93,102.99,40.0,112.73,86.31,78.29,80.43,76.04,89.73,131.55,168.02,290.16,180.64,41.92,86.63,91.01,84.55
Patel Engineerin,,,,,,,15.4,,15.26,24.46,92.27,58.63,86.99,58.32,109.35,1016.96,2370.5,2017.56,3641.7,802.97,3170.32,979.64,738.48,398.56,451.37,587.18,426.66,1235.55,946.68,418.01,367.36,547.37,1183.7,1159.65
PTL Enterprises,35.64,45.36,518.4,121.5,97.2,93.96,211.8,125.76,,,86.44,92.66,92.66,6.62,11.05,25.75,37.26,136.61,195.59,49.05,122.12,178.71,239.6,139.0,170.77,224.38,900.83,323.33,308.11,275.68,184.33,256.81,439.49,402.69
Profess. Diamond,5.2,2.5,12.0,4.0,4.75,4.5,2.6,1.6,0.9,1.0,0.25,0.14,,,,,,,,,,,,,,,,,,,,,,
Rathi Steel,5.8,7.8,24.52,4.46,8.95,17.66,6.59,,1.41,,1.65,,0.52,1.93,4.17,24.01,38.68,51.54,58.22,24.55,54.07,53.07,30.9,12.56,9.46,10.33,9.86,10.86,7.3,,,,,
Remi Proc. Plant,,,,,,,,0.62,0.26,,,,,,,,,0.48,,,,,,,,,,,,,,,,
SM Energy Teknik,,3.87,20.09,4.88,6.03,6.6,2.15,0.99,,,0.82,0.66,0.46,0.36,0.39,2.78,2.29,1.86,2.62,2.14,3.1,3.0,2.56,3.28,7.02,,,4.3,,,,,,
Samkrg Pistons,2.83,3.28,25.38,6.55,7.21,12.45,19.15,14.98,16.5,21.51,31.92,18.66,18.66,29.41,46.06,84.4,92.01,65.94,47.14,27.84,62.7,74.98,74.09,46.25,57.94,149.36,158.3,198.56,265.09,166.69,75.47,150.15,142.14,118.63
Scooters India,,,,,,,6.64,3.91,27.66,,58.34,38.96,27.99,30.95,38.26,66.85,112.63,91.57,98.88,59.67,107.9,161.21,139.93,81.47,138.74,218.15,219.85,341.52,516.12,288.87,144.0,317.67,274.47,231.45
Secals,,9.75,32.5,13.65,35.87,28.7,,3.38,18.62,9.8,5.39,,,,,,,,,,,,,,,,,,,,,,,
Shivalik Bimetal,1.44,1.92,4.8,2.16,2.04,5.28,4.61,3.84,2.98,3.46,5.17,4.21,4.42,7.58,16.8,57.8,39.46,26.88,38.5,17.76,49.73,37.92,21.58,12.62,15.84,55.97,39.36,121.93,432.8,531.11,82.18,327.19,1971.79,2949.05
Steel Str. Wheel,,,,6.15,5.74,16.4,11.07,10.7,13.59,13.02,16.68,9.97,11.14,9.97,39.39,135.9,134.12,209.16,219.8,49.67,161.53,375.82,315.5,248.23,220.01,430.0,516.52,1285.86,1649.82,1345.94,550.86,1094.15,2521.24,2314.83
Steel Strips Inf,,,,,1.47,6.5,3.71,3.24,2.51,2.59,2.46,1.94,,,1.64,6.3,3.82,19.7,14.21,4.49,10.59,6.83,6.89,2.21,3.91,3.5,11.91,10.8,8.13,6.22,,3.69,25.14,17.14
Surlux Diagno.,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaraj Engines,9.52,15.01,41.4,16.56,39.33,51.75,74.52,161.46,200.38,349.93,169.33,110.12,99.03,71.46,97.72,143.93,183.2,176.36,265.73,118.05,360.37,532.94,498.1,490.59,859.22,1003.85,1057.56,1832.51,2421.21,1705.87,1091.9,1592.8,1585.82,1866.89
Teem Labs.,,,,,1.2,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,
Birla Trans.Carp,,,,,1.01,1.3,2.27,,2.91,,,,,1.83,,4.67,10.48,,,,,31.38,,,19.87,6.78,,,,,,,,
Uni Abex Alloy,,3.56,13.83,5.53,5.43,3.95,1.19,0.49,1.23,,0.84,,,,3.65,8.58,29.5,15.8,15.86,11.91,30.01,26.48,27.85,25.35,49.81,114.4,65.19,58.26,117.12,85.91,72.8,77.41,115.61,193.55
Ansal Buildwell,,,12.25,4.59,14.86,13.93,8.54,6.32,5.2,5.2,5.2,2.23,1.89,1.49,2.59,15.86,115.61,69.41,36.2,16.49,47.31,36.31,30.26,25.79,22.99,47.93,51.14,39.52,57.38,34.61,15.24,31.14,69.78,52.82
V B Desai Fin.,2.16,1.88,10.0,5.0,27.19,18.66,13.65,6.14,2.28,,11.51,1.05,5.01,0.91,0.73,2.5,3.44,4.35,34.85,5.44,23.53,8.15,4.53,3.05,3.56,4.98,3.36,5.1,5.0,2.95,1.49,1.54,5.59,3.89
Vidarbha Iron,,,,,,,0.6,0.33,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Weizmann,1.04,2.42,10.35,6.04,59.85,60.44,38.58,16.72,,7.72,6.82,5.14,4.5,11.25,7.46,14.34,30.09,28.81,37.62,14.34,53.3,24.18,14.7,12.38,13.3,21.59,33.16,70.46,68.56,69.08,42.14,74.78,88.65,130.09
Wires & Fabriks,4.64,8.42,51.85,16.83,13.16,22.95,9.49,6.12,4.47,4.05,3.12,5.51,5.6,4.94,7.11,11.78,17.92,18.77,17.47,12.85,43.12,27.85,25.09,17.23,14.84,28.44,29.99,34.23,31.82,22.11,14.99,15.44,28.55,43.44
Pioneer Invest,,1.95,4.88,2.54,2.54,31.31,12.08,8.11,,1.14,1.72,,,0.32,1.28,2.41,39.98,47.65,299.82,33.38,58.03,49.56,39.23,12.3,12.3,18.31,21.21,86.2,46.3,37.14,35.35,32.53,40.89,36.9
Pee Cee Cosma,1.56,1.44,6.0,1.68,2.7,2.7,1.8,2.04,2.16,2.61,2.64,2.52,3.07,2.64,3.0,4.19,5.57,4.29,3.89,3.84,9.44,8.76,10.27,9.08,8.12,9.88,20.14,20.27,41.05,25.97,11.81,29.55,32.6,26.22
Pasupati Acrylon,46.62,61.09,249.48,70.31,76.19,63.49,29.21,22.22,28.57,14.29,13.33,7.94,6.98,7.3,10.29,55.81,,27.1,27.39,54.84,53.42,46.23,33.87,25.22,26.74,71.57,117.74,199.65,213.02,153.93,59.27,126.3,345.82,218.99
Man Industries,,2.59,13.46,3.73,9.94,31.02,24.66,15.91,13.52,11.69,13.92,8.43,13.21,34.42,169.34,218.04,677.99,523.34,650.82,137.2,412.79,352.41,560.54,642.42,346.6,254.95,357.16,264.37,706.9,378.57,233.82,455.66,565.75,559.2
St Bk of India,,,,,11253.46,8342.58,11269.59,14354.83,14841.66,11231.24,10583.89,10539.16,11568.07,14204.84,31877.99,34575.28,50948.47,52256.33,100962.58,67713.13,131991.55,175761.66,140582.88,141782.31,143214.52,199334.19,150830.77,233304.73,223203.94,286301.53,175770.22,325168.22,440340.34,467381.94
Bhoruka Alum.,1.68,1.49,4.95,0.99,0.5,7.95,3.18,3.18,2.5,,1.34,,,1.29,,6.36,4.08,10.24,21.29,7.49,21.94,81.16,7.36,6.15,3.85,3.41,2.75,3.41,,2.91,1.48,1.43,8.46,
Wall Street Fin.,1.38,,2.5,6.56,11.72,19.71,7.32,1.69,1.24,1.41,8.25,1.21,1.63,1.22,2.15,5.56,10.16,10.4,30.47,52.04,53.91,28.35,16.83,11.26,11.11,33.9,28.58,28.75,36.97,31.24,15.56,22.97,27.71,32.45
Ensa Steel Inds.,,,11.25,9.0,15.57,21.78,13.95,,,,,,3.82,3.62,,,,,7.78,7.56,5.44,5.48,5.77,2.84,2.33,1.66,2.52,1.42,,,,,,
Techtrek India,,,,,2.5,0.93,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Prashant India,,2.17,25.0,10.63,14.48,23.8,12.53,4.38,0.8,,0.7,,0.49,,,,,,,,,,,,,,,,,,,,5.05,3.67
Autolite (I),4.5,4.61,22.5,9.9,64.4,123.97,106.26,42.0,13.94,7.74,17.73,3.98,3.55,2.98,6.58,9.1,13.14,11.43,54.81,17.03,28.66,22.56,15.66,13.17,18.28,38.94,48.36,59.54,69.44,42.82,,,,
Ador Multi Prod.,,1.05,4.97,5.15,5.56,7.61,3.74,1.87,0.95,1.4,0.96,0.44,,0.59,0.66,2.2,2.34,3.36,4.15,2.69,4.16,4.36,3.92,3.15,3.0,4.11,3.37,5.57,11.37,12.87,12.62,40.4,34.54,22.2
Shreyans Inds.,,22.55,46.13,23.56,36.48,47.88,29.18,17.48,6.75,3.04,4.56,4.23,7.86,2.38,6.48,16.49,30.11,28.39,34.48,18.99,34.55,27.85,20.32,21.84,33.03,48.51,38.01,186.5,203.78,207.51,88.86,139.65,164.25,196.66
Bee Electronics,6.73,14.31,27.03,5.72,6.36,9.54,4.61,2.62,0.83,1.49,2.04,0.48,,0.19,0.23,1.24,,,,,,,,,,,,,,,,,,
Bajrang Finance,,,,,,,,1.8,0.62,,,,,,,,,,,,,,,,,,,,,,,,,
Paramount Steels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEC (India),0.88,2.94,12.74,7.6,25.95,25.32,,7.6,1.27,,,,,,,,,,,,,,,,,,,,,,,,,
Hind Wire Inds.,,,,,,,0.71,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontier Capital,,,,,,,,,,,,0.07,,,,,,,,,0.14,,,,,,,,,,,,,4.19
Satra Properties,,,,,,,,,,,,,,,,,51.83,167.93,1319.7,271.09,219.66,215.08,75.67,62.77,104.88,164.09,120.75,100.77,68.49,41.56,8.92,18.37,,
G S Auto Intl.,,,,,,,0.63,,0.84,0.77,0.67,,,,,,,,13.69,2.35,33.8,16.64,19.78,10.44,7.81,19.52,17.27,18.97,17.3,10.6,3.56,6.31,19.33,21.31
ICDS,,,,,,49.7,94.08,91.59,46.86,,34.36,,22.15,,,,,,,,,,,,,,,,,,,,52.11,22.61
Essar Telehold,,15.0,75.0,10.63,10.0,43.13,114.0,215.0,195.0,,,,,130.5,139.5,,,,,,,,,,,,,,,,,,,
Shreenath Invest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Bright St.,,1.63,2.38,1.06,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core Healthcare,4.6,13.8,103.5,196.5,1068.78,840.13,286.0,83.57,57.98,61.92,39.37,19.33,25.41,12.88,14.14,53.51,20.29,,,,,,,,,,,,,,,,,
Maa Jagdambe,,,,,,,,,,,,,,,,,,,,,,,,,657.99,636.03,,,,,,,,
Mansoon Trading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhusudan Inds.,4.68,13.8,48.0,18.6,36.56,43.42,26.9,13.45,9.95,8.34,8.07,10.22,2.66,1.59,2.91,4.2,5.39,4.03,5.33,3.9,3.95,5.26,6.04,6.99,4.47,2.88,3.77,8.15,8.39,8.18,4.79,6.13,14.66,11.75
Rajshree Sugars,22.66,14.76,52.7,42.16,55.86,61.13,40.05,30.06,18.15,15.88,13.61,18.15,18.38,21.44,52.19,110.61,421.35,139.54,122.87,104.83,113.34,127.63,90.16,108.13,63.04,45.32,96.27,175.34,86.47,61.97,39.49,48.03,109.02,127.67
Ruby Mills,,,,77.28,84.0,,,91.86,,,,,,39.73,34.23,82.35,135.52,170.54,320.36,118.06,368.8,347.53,305.64,184.55,170.46,228.73,487.05,544.65,486.64,474.35,210.17,274.54,537.55,500.76
Classic Electric,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,
Swastik Safe Dep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,
Hindustan Wires,7.96,4.91,12.74,,,12.74,4.73,,,,,,,,,,,,,,,,,,,47.14,34.37,44.68,44.78,35.45,,,,
Ras Resorts,,,,,1.36,2.4,3.52,2.82,1.33,2.66,1.73,2.09,,0.51,1.9,2.05,4.47,7.45,12.05,13.55,8.78,11.0,17.1,13.87,13.85,15.26,8.93,16.61,16.67,,16.28,9.01,12.21,11.0
Oseaspre Cons.,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,
Sinnar Bidi Udy.,,,,,,3.5,2.9,3.0,,2.8,3.42,3.7,,,,,,6.58,20.08,5.44,6.99,,9.22,,7.8,,,,,,8.6,,,8.61
Technojet Cons.,,,,,,,,,,,,,,0.29,,,,,0.95,,,,,,,,,,,,,,,
Aluminium Inds.,3.65,4.32,46.9,6.93,5.39,10.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shricon Indus.,,,,,,,,,,,,,,,3.1,,1.8,,4.38,6.89,6.99,,,12.15,7.29,,2.43,2.07,5.47,,,3.94,,3.88
Vapi Paper Mills,,4.5,,6.0,8.0,28.08,16.64,13.73,3.64,3.53,4.67,5.04,4.56,,2.29,6.19,3.32,3.32,3.42,2.08,1.75,2.42,4.79,7.5,5.7,5.24,2.43,2.41,8.48,1.3,8.14,3.68,8.82,18.7
Polytex India,,,,,,,,,,,,,,,,,,,,,,202.7,186.84,109.55,11.38,6.55,7.94,5.0,6.22,1.98,0.95,2.97,7.16,5.14
Shalimar Prod.,,,,,,,,,,,,1.15,1.24,7.05,58.75,3.22,1.58,1.27,2.77,1.66,2.34,31.46,27.17,26.72,520.71,93.51,33.47,48.23,48.23,48.23,48.23,48.23,104.34,48.23
Advani Hotels.,,5.16,87.5,15.54,42.55,46.22,33.28,26.11,14.79,11.19,7.44,5.32,4.85,4.44,8.67,42.15,83.29,160.15,411.81,135.19,185.34,162.0,140.74,135.88,164.31,198.74,218.15,259.06,257.21,318.68,139.35,264.61,421.75,330.42
Hind Rectifiers,2.03,,,3.5,5.25,26.0,16.5,10.73,8.25,3.7,3.99,1.9,2.46,2.61,6.32,20.9,143.56,109.87,99.38,47.18,83.83,62.23,60.28,76.98,51.32,99.63,94.06,119.95,219.14,188.58,195.37,197.19,307.42,322.2
Rama Phosphates,,4.59,10.71,7.65,15.3,21.53,15.65,,6.75,5.56,8.82,4.38,5.07,3.13,2.54,7.42,,3.14,3.42,6.67,15.04,110.65,106.76,89.07,55.02,37.06,67.93,154.26,138.69,150.37,41.93,229.97,762.79,309.84
Uflex,9.94,26.0,80.01,44.77,257.4,291.39,347.77,94.68,,19.17,69.33,53.49,53.72,64.47,155.31,219.1,329.51,1165.55,884.79,364.38,617.6,1037.95,828.61,522.08,514.5,844.5,1258.26,2006.72,2453.7,1640.61,996.5,2727.01,4396.87,2421.56
Yamini Invest,,,,,,,,,,,,,,,,,,,,,,,,,10.38,3128.07,1243.34,1769.07,291.78,15.25,9.99,25.76,96.73,29.97
Best Board,,,,,,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasupati Spinng.,4.67,11.17,25.38,14.4,23.6,70.6,38.83,22.95,14.12,12.64,8.15,7.87,1.77,,,,,,,,,,,,16.25,15.97,20.41,14.9,21.67,19.05,7.31,4.96,24.28,14.71
Ironwood Educa,,,,,,,,,,,,,,,,,,,66.9,95.86,31.1,26.44,12.02,8.62,6.01,15.82,23.68,23.72,33.21,30.05,29.26,15.85,26.1,23.45
Natl. Oxygen,,,3.9,2.6,2.86,12.48,,2.96,1.87,0.66,1.56,1.01,0.58,,3.9,18.16,27.27,13.28,12.84,7.68,10.92,14.79,14.38,19.68,17.98,23.04,19.78,19.1,18.77,16.94,14.16,17.98,40.82,41.5
Aviva Industries,,,,,,,,0.9,,,,,,,,,,5.46,2.18,1.65,3.43,4.62,4.09,3.18,1.5,1.95,3.97,2.86,,1.79,,1.65,3.38,4.67
High Energy Bat.,,,9.0,4.73,6.75,11.25,9.9,,3.69,4.32,,,5.31,3.99,13.68,27.9,65.63,50.4,14.85,8.36,19.21,15.66,14.86,20.84,17.18,27.21,25.04,37.86,73.45,41.8,37.05,146.8,271.36,288.41
Yash Trad.& Fin.,,,,,,,,,,,,,,,,,,1.26,,,,3.75,5.79,,,,,,,,0.44,,,
Konark Synth,1.91,1.08,7.62,1.71,1.27,2.92,1.78,1.3,0.89,3.44,1.4,0.89,1.14,0.83,1.22,2.32,7.11,8.24,7.95,10.09,9.15,12.17,12.11,5.0,4.83,7.45,11.21,9.03,6.05,7.37,8.4,5.13,8.51,7.62
Oswal Leasing,,,,,,,1.0,0.83,,0.8,0.75,,,,,,,,,,,,,,,,,,,,,0.57,,1.22
Suryakrupa Fin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,0.6,
Bonanza Inds.,,,,,0.61,0.97,,,,,,0.57,,,,,,,,,,,,,16.82,14.37,10.61,5.22,,,,,,
Rel. Chemotex,,,4.92,4.55,3.69,11.28,4.86,3.12,2.78,2.46,2.26,1.74,2.39,2.52,3.42,6.63,7.63,5.92,16.05,6.03,9.95,44.27,42.22,11.25,12.19,16.63,17.03,27.69,30.45,30.17,32.85,58.05,174.71,119.41
Elcid Investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shah Constructn,,,,,,,3.87,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,
United Drilling,,,10.84,2.66,0.99,2.96,0.79,,,,,,,,,1.75,1.44,4.35,6.12,1.23,2.27,2.26,2.56,3.81,14.93,162.17,51.19,254.48,256.73,228.11,211.96,531.74,1001.45,391.85
Amalgamated Elec,,,,,,,1.11,,,,,,,,,,,,,,,10.74,,,,,,,,,,6.27,4.16,6.82
Khaitan Chemical,,,,,,,,5.74,5.59,8.22,,11.74,11.79,2.67,12.66,32.61,77.39,45.58,50.29,20.17,48.93,115.51,146.16,120.27,62.56,65.95,77.59,154.7,124.63,78.17,53.15,213.38,1222.06,649.73
Guj. Telephone,10.1,12.11,45.43,39.46,103.53,126.25,64.31,25.79,19.73,26.41,50.11,,,,,,,,,,,,,,,,,,,,,,,
Ucal Fuel Sys.,21.8,23.87,72.66,23.36,40.22,83.96,73.82,47.26,35.41,34.4,47.96,26.93,48.48,100.18,185.67,240.47,275.92,124.82,96.4,38.78,158.97,146.92,155.88,108.67,106.35,243.87,230.05,480.56,519.03,358.07,160.3,310.31,247.52,239.56
DigiSpice Tech.,,25.63,113.75,30.02,26.49,43.27,,9.8,5.78,5.6,,,,,22.51,56.67,56.0,70.9,214.94,73.89,273.9,2542.91,1047.64,1058.35,696.12,601.56,320.15,332.68,380.53,177.73,78.85,1149.98,710.12,441.55
United Van Der,11.56,8.75,13.13,5.2,5.0,4.0,,1.9,,1.1,1.82,,,,,5.02,5.6,4.48,5.88,2.4,8.78,7.12,5.51,1.74,,,,,,7.4,13.13,10.54,48.16,43.18
Vadilal Inds.,0.94,13.52,16.3,,16.22,36.74,16.03,4.18,4.38,,10.79,2.16,2.73,3.06,4.18,9.56,33.54,26.21,36.27,23.01,56.51,108.43,89.91,127.55,111.3,192.55,454.48,698.4,608.81,437.01,325.02,646.17,1016.56,1584.06
AKG Acoustics,78.66,107.64,227.7,258.75,244.38,,189.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitta Gelatin,14.35,13.3,133.0,65.1,115.5,118.65,79.8,45.15,29.4,57.83,30.11,10.84,14.32,11.84,15.16,35.28,30.87,48.85,47.96,58.38,149.94,84.13,72.95,129.49,85.67,114.23,185.41,173.29,180.83,114.45,81.08,151.45,256.87,807.53
Triochem Product,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,
G V Films,132.25,120.75,546.25,93.44,69.0,129.38,54.63,23.0,17.25,36.8,685.46,261.8,134.75,47.16,50.63,29.45,79.53,94.11,202.13,29.93,66.72,30.6,19.17,15.11,14.75,14.01,25.07,25.07,63.11,42.99,21.95,33.84,110.67,41.16
Cravatex,,,4.2,0.95,1.05,11.39,5.53,3.12,,2.55,2.53,,,3.25,3.68,8.51,9.81,11.48,12.22,7.39,25.9,66.82,180.86,77.92,67.34,127.81,58.77,93.09,98.85,73.43,83.59,74.81,93.14,82.56
Saianand Commer.,,,,,,,,,,,,,,,,,,,,48.87,18.47,2.8,16.7,9.28,10.66,6.65,,,,,,,,9.32
Rusoday & Co,,,9.49,13.530000000000001,9.37,6.07,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaipan Industrie,,,,,,,,,,5.31,8.5,6.16,6.59,5.95,3.87,4.7,4.21,6.12,8.05,21.68,15.22,10.67,7.75,6.55,4.27,6.16,7.32,10.1,22.11,10.8,3.2,4.65,8.02,17.4
Anant Raj,,7.81,26.04,7.49,7.16,12.36,8.24,6.74,2.1,,4.46,3.72,3.71,6.75,5.79,30.52,1511.14,3949.25,6745.99,1186.3,3915.98,2458.18,1726.34,1860.61,1682.07,1174.5,972.35,1409.1,1384.02,990.06,582.82,1608.3,1956.51,3966.94
Quadrant Tele.,,,,14.17,37.06,41.42,21.8,12.75,6.54,3.05,49.05,12.21,34.75,9.16,519.88,2031.13,1024.76,1048.41,943.31,424.62,461.03,247.35,198.37,220.41,168.37,204.49,164.09,184.9,91.84,23.27,11.63,12.86,40.41,64.29
Westlife Develop,,,,,,,,,,,0.08,,,,,,,,,4.67,51.92,,85.52,1013.63,5567.91,4510.95,3033.26,3322.19,4978.81,6670.71,4984.29,7154.08,7458.62,10662.91
Medi Caps,,,12.74,3.06,18.82,27.92,12.2,4.41,4.92,2.37,1.31,0.46,0.51,3.54,7.46,14.8,25.46,17.58,20.28,7.36,21.78,17.5,16.27,17.4,13.09,17.46,25.5,34.42,28.74,20.64,10.19,50.32,61.91,43.56
Nihon Nirmaan,,46.28,,17.09,27.12,29.15,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMIFS Cap. Mkt.,,,,,,,,,,,,,97.83,5.03,11.57,10.06,12.86,22.64,28.09,17.8,20.18,21.75,15.74,24.12,13.08,12.75,15.65,25.16,31.75,21.8,11.74,24.6,22.89,21.68
Harita Seating,,,,,,,,,,,,,,,,44.62,85.36,75.29,52.41,35.74,77.74,55.05,90.13,58.78,63.33,133.64,334.96,547.79,767.33,343.82,243.98,,,
Jayabharat Cred.,,,,4.8,4.5,13.75,9.0,7.75,7.25,5.5,5.43,3.95,3.15,3.63,3.68,6.2,7.33,7.8,8.13,6.7,4.82,4.25,4.48,5.45,3.68,2.84,2.71,,,,0.86,2.95,3.38,5.24
Luharuka Media,,,,,,,,,,,,,,,,,,,15.63,11.36,309.23,292.88,282.57,120.34,15.37,6.09,7.87,5.81,4.97,7.97,3.47,4.31,30.46,26.24
Aikyam Intell.,,,13.44,10.08,7.34,,,,,,,,,,,,,,,,,,,51.21,95.05,,,,,,,,,
Jai Corp,,,,,,53.75,36.55,43.52,42.6,24.59,25.93,25.47,28.71,28.05,77.71,79.87,105.98,1820.28,9185.61,1428.89,4641.89,2891.7,1553.84,900.28,1242.9,1001.1,1227.73,1319.63,2382.3,2060.2,902.06,1507.01,1949.56,2470.63
B&B Realty,,,1.49,,,,,,,,,,,,,,,,,7.96,162.04,53.47,11.01,11.45,9.94,10.41,9.7,5.13,,,,,,
Kamanwala Housin,,,,,4.26,13.49,4.83,2.89,2.02,1.45,1.79,,,,,8.92,8.51,66.8,44.61,30.5,72.21,45.72,58.97,39.73,31.7,23.67,23.88,19.44,14.4,14.6,6.17,6.45,18.04,10.81
